cbr throughput throughput_stddev latency latency_stddev pdr pdr_stddev
1 8005.71673189259 1005.48275125201 0.0926831683464369 0.0363757270121296 0.0288155717931035 0.0180223273563399
1.5 7972.09869219651 847.56758799458 0.0913345529777289 0.0285911403652237 0.0283615433345821 0.0141600295816776
2 6491.81100371401 426.175714405311 0.0914477440771826 0.0379603556201397 0.0413636142373991 0.022038237396237
2.5 6433.52076849168 701.647116770408 0.0929460823913536 0.0396701854957467 0.0427131751121683 0.0204404421257764
3 6353.83742245281 668.352069300408 0.0892930001134845 0.0175693209281096 0.0402810710369763 0.0252738378463834
3.5 5511.5302930002 487.486183757444 0.0896281443076426 0.0189683326639848 0.0555814390584046 0.0157286111524719
4 5414.623330643 508.429525927963 0.0894321095040925 0.0206942174235402 0.0564471824987719 0.0261265914805762
4.5 4483.26421754292 165.910869490405 0.0830927539833067 0.00265372340489356 0.0999699045570342 0.0178081047129062
5 4026.91876473929 192.007831770937 0.0847133881430853 0.011145312743289 0.107505178741665 0.0296538408791137
5.5 3721.75199586156 118.886685564617 0.0859490015646117 0.0107829228183601 0.112382680925818 0.0351143056659795
6 3592.67931267165 432.11812805705 0.0876490785515419 0.0151525470692043 0.118927485685353 0.045774163750986
6.5 2854.66144787469 73.6621184296971 0.0963336311410341 0.03723971715419 0.174852611550434 0.0619536363936592
7 2923.84547914743 162.46306497357 0.0968358016076654 0.0308358912941106 0.160083141693593 0.0284266543260945
7.5 2193.53088787268 95.9758220948379 0.098539282791031 0.0383562682657545 0.273837590239732 0.068753849312256
8 1664.18804464958 46.786971487452 0.117658035016455 0.0925059612352184 0.41842889605772 0.0568511369796097
8.5 1371.70055486629 28.731092529151 0.0994010553380189 0.010699292614425 0.799414402562023 0.21709487028738
9 962.328422100003 40.924252725953 0.10564929721069 0.0216419787173218 2.81799387600235 0.40616542354051
9.5 588.082642916262 59.5312338072134 0.13633508935821 0.0757634017232455 2.25567753469807 0.600436129751118
10 203.516686578783 42.4841479980558 0.182255497785937 0.12942848986882 13.1759844492218 2.91076355365136
