cbr variant throughput throughput_stddev latency latency_stddev pdr pdr_stddev
1 Reno1 3815.54482331936 1020.63621482977 0.08529221089609 0.00341693376077555 0.126286802787492 0.102520827316016
1 Reno2 4242.16340254504 1118.38766513787 0.0842370999080225 0.00478364122283576 0.0887204632852828 0.0457355672367907
1.5 Reno1 4436.63557414132 679.330970380868 0.0880462472025808 0.0165643436986801 0.0805741875663967 0.029619678159383
1.5 Reno2 3205.07055832591 603.075879597689 0.0858630746267213 0.00446536876193329 0.146465352220299 0.0737707527983922
2 Reno1 3558.89437094104 926.650513545394 0.101018901300479 0.0523711210234466 0.175323885206709 0.165635442941349
2 Reno2 3704.99359008209 887.278172038741 0.0936088812270259 0.029296780030529 0.13625524147829 0.0765611590015032
2.5 Reno1 3287.91246176423 815.999057211698 0.0951038838055216 0.0336869204808001 0.172328474174986 0.0868653516751154
2.5 Reno2 3376.6031930798 816.022637169196 0.0907083996511762 0.0213885432007095 0.155381186748405 0.0892559338065156
3 Reno1 3060.61416472612 914.658183038919 0.0961949608629432 0.0266026131175362 0.188498472619202 0.155476921396371
3 Reno2 3485.93416612565 896.03433503917 0.0951966678629854 0.0241105189086385 0.14402735607605 0.114344088125363
3.5 Reno1 3041.96376442207 443.339287864251 0.0985271493906842 0.0356779815158888 0.173226665064021 0.099755709693049
3.5 Reno2 3007.51281459289 639.588216059087 0.0967800348507204 0.0249540345459255 0.173085221402072 0.0788113986420238
4 Reno1 2576.07781003075 419.423989738275 0.0971583769915737 0.0247162543105508 0.204334449991872 0.0893108961405089
4 Reno2 3335.70744407445 484.930913371776 0.09351159569318 0.0161301645040976 0.12613183287013 0.0283994285165692
4.5 Reno1 2790.26290232361 695.891899594551 0.126307516101621 0.127854692848682 0.201043653158176 0.0985156830453329
4.5 Reno2 2167.0857978845 653.597797682532 0.0948545721976788 0.0197230185713037 0.332439608670042 0.237626553621965
5 Reno1 1923.09463053892 9.54085812487102 0.0956414867677051 0.0309562164823523 0.344478175522871 0.00162971605270812
5 Reno2 1925.92348005911 9.68146595243358 0.09626290376748 0.0328811616426854 0.345074323714967 0.00183167217313503
5.5 Reno1 2239.9409178965 584.223863692127 0.0933213590247683 0.0192326241961359 0.334582392252093 0.223820257879821
5.5 Reno2 1914.77195212018 448.173192584739 0.108040576640104 0.0638664387247154 0.400236798970635 0.153847644322145
6 Reno1 1615.28592603939 326.316292717879 0.100459262685348 0.034291511601644 0.555073965564331 0.240355027095277
6 Reno2 1879.36862786529 460.133705832196 0.113967245708249 0.0797110475455937 0.425549877417097 0.139188327313015
6.5 Reno1 1543.06017027832 395.799406619749 0.0938977453005418 0.00494891840019277 0.51394970855275 0.248470123915631
6.5 Reno2 1807.48251978774 460.242117812746 0.0939232839543152 0.00295334277051265 0.413463313778129 0.165886367468331
7 Reno1 1466.35534419266 253.800683150029 0.112387865736567 0.0410774714442303 0.530737305441896 0.230142816278722
7 Reno2 1613.79213086853 279.802304124441 0.10610672392152 0.0223992369013903 0.454123503836155 0.170564597478671
7.5 Reno1 1383.96832119671 330.898388676482 0.111351267671098 0.0448585102048059 0.631991108109601 0.357417737064367
7.5 Reno2 1162.33061304346 324.3115065386 0.107856331128971 0.024774469069421 0.835669061892479 0.300144432016441
8 Reno1 1005.42089692536 190.640528160548 0.109831952720034 0.0345050619842766 1.08887113282333 0.512181670763068
8 Reno2 974.469604430602 237.545440433625 0.105388322453554 0.0186847732946907 1.07865652180159 0.449317098887189
8.5 Reno1 771.284824580316 93.8904132785308 0.116227010817617 0.0398248356521707 1.76883324822663 0.703356446450333
8.5 Reno2 727.852392010033 73.7853727755894 0.11677801330045 0.0375449897476509 1.93211024163078 0.430853196003592
9 Reno1 523.007137916189 27.6082975444428 0.122134729298602 0.0288193448324116 4.76275586620098 0.727633158509198
9 Reno2 508.030415762535 30.9528508994659 0.133750536991554 0.0676701326782217 4.2288648598943 0.693116991292271
9.5 Reno1 281.889857229997 24.181075037087 0.139183742603963 0.021927569132544 6.77522273240752 2.07667021108014
9.5 Reno2 290.542384122134 38.7687007328749 0.147082261915567 0.0500382640323126 6.35867293818354 1.69286528478407
10 Reno1 195.692993157067 29.2280239828522 0.14945160810438 0.017627454059923 10.6050584493356 3.14694037924578
10 Reno2 176.389008643872 40.0713087979083 0.178787219768738 0.0706225807027883 13.3098854146851 3.74139207874807
